prompt,project code,project_status,project name,Approval date,Code Questions
P-SL-F00-007 represents BO AND KENEMA DISTRIBUTION SYSTEM REHABILITATION AND EXPANSION PROJECT happening in Sierra Leone which has status as Ongoing ->,P-SL-F00-007,Ongoing,Bo and kenema distribution system rehabilitation and expansion project happening in sierra leone,16-Dec-2016.,Details regarding project P-SL-F00-007
P-ZW-FA0-004 represents ALASKA-KAROI TRANSMISSION LINE happening in Zimbabwe which has status as Ongoing ->,P-ZW-FA0-004,Ongoing,Alaska-karoi transmission line happening in zimbabwe,16-Dec-2016.,Details regarding project P-ZW-FA0-004
P-TZ-KA0-002 represents POWER SECTOR REFORM AND GOVERNANCE SUPPORT PROGRAMME II & III happening in Tanzania which has status as Completed ->,P-TZ-KA0-002,Completed,Power sector reform and governance support programme ii & iii happening in tanzania,15-Dec-2016.,Details regarding project P-TZ-KA0-002
P-Z1-AAZ-039 represents MULTINATIONAL-GEF RURAL LIVELIHOODS ADAPTATION TO CLIMATE CHANGE IN THE HORN OF AFRICA-I happening in Multinational which has status as Ongoing ->,P-Z1-AAZ-039,Ongoing,Multinational-gef rural livelihoods adaptation to climate change in the horn of africa-i happening in multinational,15-Dec-2016.,Details regarding project P-Z1-AAZ-039
P-Z1-AAZ-047 represents DJIBOUTI-GEF RURAL LIVELIHOODS ADAPTATION TO CLIMATE CHANGE IN THE HORN OF AFRICA-I happening in Multinational which has status as Ongoing ->,P-Z1-AAZ-047,Ongoing,Djibouti-gef rural livelihoods adaptation to climate change in the horn of africa-i happening in multinational,15-Dec-2016.,Details regarding project P-Z1-AAZ-047
P-CI-FA0-004 represents AZITO EXPANSION GENERATION PLANT happening in Côte D'Ivoire which has status as Ongoing ->,P-CI-FA0-004,Ongoing,Azito expansion generation plant happening in côte d'ivoire,14-Dec-2016.,Details regarding project P-CI-FA0-004
P-NG-FAB-001 represents MAINSTREAM HYDRO PROJECT happening in Nigeria which has status as Approved ->,P-NG-FAB-001,Approved,Mainstream hydro project happening in nigeria,14-Dec-2016.,Details regarding project P-NG-FAB-001
P-ET-D00-009 represents ETHIOPIAN AIRLINES (LOAN B) happening in Ethiopia which has status as Ongoing ->,P-ET-D00-009,Ongoing,Ethiopian airlines (loan b) happening in ethiopia,14-Dec-2016.,Details regarding project P-ET-D00-009
P-LS-FA0-003 represents URBAN DISTRIBUTION REHABILITATION & TRANSMISSION EXPANSION PROJECT happening in Lesotho which has status as Ongoing ->,P-LS-FA0-003,Ongoing,Urban distribution rehabilitation & transmission expansion project happening in lesotho,14-Dec-2016.,Details regarding project P-LS-FA0-003
P-ML-KA0-004 represents PROGRAMME D'APPUI AUX RÉFORMES DE LA GOUVERNANCE ECONOMIQUE PHASE II -PARGE II happening in Mali which has status as Completed ->,P-ML-KA0-004,Completed,Programme d'appui aux réformes de la gouvernance economique phase ii -parge ii happening in mali,14-Dec-2016.,Details regarding project P-ML-KA0-004
P-NG-I00-001 represents INCLUSIVE BASIC SERVICE DELIVERY AND LIVELIHOOD EMPOWERMENT INTEGRATED PROJECT happening in Nigeria which has status as Ongoing ->,P-NG-I00-001,Ongoing,Inclusive basic service delivery and livelihood empowerment integrated project happening in nigeria,14-Dec-2016.,Details regarding project P-NG-I00-001
P-ZM-IAD-002 represents EDUCATION FOR SUSTAINABLE DEVELOPMENT IN AFRICA (ESDA-NMRM) - NATURAL MINERAL RESOURCE MANAGEMENT happening in Zambia which has status as Ongoing ->,P-ZM-IAD-002,Ongoing,Education for sustainable development in africa (esda-nmrm) - natural mineral resource management happening in zambia,14-Dec-2016.,Details regarding project P-ZM-IAD-002
P-ET-D00-005 represents ETHIOPIAN AIRLINES happening in Ethiopia which has status as Ongoing ->,P-ET-D00-005,Ongoing,Ethiopian airlines happening in ethiopia,14-Dec-2016.,Details regarding project P-ET-D00-005
P-Z1-F00-063 represents FACILITY FOR ENERGY INCLUSION happening in Multinational which has status as Approved ->,P-Z1-F00-063,Approved,Facility for energy inclusion happening in multinational,13-Dec-2016.,Details regarding project P-Z1-F00-063
P-EG-K00-010 represents ECONOMIC GOVERNANCE AND ENERGY SUPPORT PROGRAM II happening in Egypt which has status as Completed ->,P-EG-K00-010,Completed,Economic governance and energy support program ii happening in egypt,13-Dec-2016.,Details regarding project P-EG-K00-010
P-MA-AAC-016 represents PROJET D'APPUI AU PROGRAMME NATIONAL D'ECONOMIE D'EAU D'IRRIGATION AU MAROC TRANCHE II (PAPNEEI-II) happening in Morocco which has status as Ongoing ->,P-MA-AAC-016,Ongoing,Projet d'appui au programme national d'economie d'eau d'irrigation au maroc tranche ii (papneei-ii) happening in morocco,13-Dec-2016.,Details regarding project P-MA-AAC-016
P-TZ-AA0-025 represents TANZANIA AGRICULTURAL DEVELOPMENT BANK happening in Tanzania which has status as Ongoing ->,P-TZ-AA0-025,Ongoing,Tanzania agricultural development bank happening in tanzania,13-Dec-2016.,Details regarding project P-TZ-AA0-025
P-LR-F00-004 represents LIBERIA ENERGY EFFICIENCY AND ACCESS PROJECT (LEEAP) happening in Liberia which has status as Ongoing ->,P-LR-F00-004,Ongoing,Liberia energy efficiency and access project (leeap) happening in liberia,12-Dec-2016.,Details regarding project P-LR-F00-004
P-CD-AB0-006 represents PROJET ENTREPRENARIAT JEUNES DAS L'AGRICULTURE ET L'AGRO-BUSINESS (PEJAB) happening in Dem Rep Congo which has status as Ongoing ->,P-CD-AB0-006,Ongoing,Projet entreprenariat jeunes das l'agriculture et l'agro-business (pejab) happening in dem rep congo,09-Dec-2016.,Details regarding project P-CD-AB0-006
P-GA-IAE-002 represents RENFORCEMENT DES CAPACITÉS POUR L'EMPLOYABILITÉ DES JEUNES ET L'AMÉLIORATION DE LA PROTECTION SOC happening in Gabon which has status as Ongoing ->,P-GA-IAE-002,Ongoing,Renforcement des capacités pour l'employabilité des jeunes et l'amélioration de la protection soc happening in gabon,09-Dec-2016.,Details regarding project P-GA-IAE-002
P-MZ-D00-007 represents MUEDA - NEGOMANO ROAD PROJECT PHASE I happening in Mozambique which has status as Ongoing ->,P-MZ-D00-007,Ongoing,Mueda - negomano road project phase i happening in mozambique,09-Dec-2016.,Details regarding project P-MZ-D00-007
"P-NE-F00-004 represents PROJET D'ELECTRIFICATION EN MILIEU RURAL, PERIURBAIN ET URBAIN (PEPERN) happening in Niger which has status as Ongoing ->",P-NE-F00-004,Ongoing,"Projet d'electrification en milieu rural, periurbain et urbain (pepern) happening in niger",09-Dec-2016.,Details regarding project P-NE-F00-004
P-Z1-D00-020 represents PROJET DE CONSTRUCTION DU PONT DE ROSSO-SENEGAL happening in Multinational which has status as Ongoing ->,P-Z1-D00-020,Ongoing,Projet de construction du pont de rosso-senegal happening in multinational,09-Dec-2016.,Details regarding project P-Z1-D00-020
P-Z1-D00-037 represents PROJET DE CONSTRUCTION DU PONT DE ROSSO-MAURITANIE happening in Multinational which has status as Approved ->,P-Z1-D00-037,Approved,Projet de construction du pont de rosso-mauritanie happening in multinational,09-Dec-2016.,Details regarding project P-Z1-D00-037
P-Z1-GB0-024 represents DORSALE TRANSSAHARIENNE A FIBRE OPTIQUE (DTS) happening in Multinational which has status as Ongoing ->,P-Z1-GB0-024,Ongoing,Dorsale transsaharienne a fibre optique (dts) happening in multinational,09-Dec-2016.,Details regarding project P-Z1-GB0-024
P-CD-FA0-011 represents PROJET D'APPUI A LA GOUVERNANCE ET A L'AMELIORATION DU SECTEUR ELECTRIQUE (PAGASE) happening in Dem Rep Congo which has status as Ongoing ->,P-CD-FA0-011,Ongoing,Projet d'appui a la gouvernance et a l'amelioration du secteur electrique (pagase) happening in dem rep congo,07-Dec-2016.,Details regarding project P-CD-FA0-011
P-ET-D00-007 represents ETHIOPIA INTEGRATED TRANSPORT PROJECT PHASE I (JIMA - CHIDA & SODO - SAWLA ROAD UPGRADING PROJECT) happening in Ethiopia which has status as Ongoing ->,P-ET-D00-007,Ongoing,Ethiopia integrated transport project phase i (jima - chida & sodo - sawla road upgrading project) happening in ethiopia,07-Dec-2016.,Details regarding project P-ET-D00-007
P-MW-IA0-005 represents JOBS FOR YOUTH MALAWI happening in Malawi which has status as Ongoing ->,P-MW-IA0-005,Ongoing,Jobs for youth malawi happening in malawi,07-Dec-2016.,Details regarding project P-MW-IA0-005
P-BW-HB0-004 represents MIC TECHNICAL ASSISTANCE GRANT TO BOTSWANA DEVELOPMENT CORPORATION happening in Botswana which has status as Ongoing ->,P-BW-HB0-004,Ongoing,Mic technical assistance grant to botswana development corporation happening in botswana,06-Dec-2016.,Details regarding project P-BW-HB0-004
P-Z1-F00-066 represents 400 KV ZAMBIA-MOZAMBIQUE MULTINATIONAL POWER INTERCONNECTION happening in Multinational which has status as Ongoing ->,P-Z1-F00-066,Ongoing,400 kv zambia-mozambique multinational power interconnection happening in multinational,06-Dec-2016.,Details regarding project P-Z1-F00-066
P-CF-E00-009 represents APPROVISIONNEMENT EN EAU ET ASSAINISSEMENT EN MILIEU RURAL ET SEMI-URBAINS POST CONFLITS happening in Centrafrique which has status as Ongoing ->,P-CF-E00-009,Ongoing,Approvisionnement en eau et assainissement en milieu rural et semi-urbains post conflits happening in centrafrique,05-Dec-2016.,Details regarding project P-CF-E00-009
P-DJ-KE0-001 represents PROJET D’APPUI AU RENFORCEMENT DES COMPETENCES DANS LE SECTEUR DE LA SANTE happening in Djibouti which has status as Ongoing ->,P-DJ-KE0-001,Ongoing,Projet d’appui au renforcement des competences dans le secteur de la sante happening in djibouti,05-Dec-2016.,Details regarding project P-DJ-KE0-001
P-SO-IZ0-007 represents STRENGTHENING INSTITUTIONS FOR PUBLIC WORKS happening in Somalia which has status as Ongoing ->,P-SO-IZ0-007,Ongoing,Strengthening institutions for public works happening in somalia,05-Dec-2016.,Details regarding project P-SO-IZ0-007
P-ML-IAZ-001 represents PROJET D APPUI À LA RÉINSERTION SOCIO-ÉCONOMIQUE DES POPULATIONS DU NORD MALI PARSEP-NM happening in Mali which has status as Ongoing ->,P-ML-IAZ-001,Ongoing,Projet d appui à la réinsertion socio-économique des populations du nord mali parsep-nm happening in mali,30-Nov-2016.,Details regarding project P-ML-IAZ-001
P-SD-AAZ-006 represents ENABLE YOUTH SUDAN happening in Sudan which has status as Ongoing ->,P-SD-AAZ-006,Ongoing,Enable youth sudan happening in sudan,28-Nov-2016.,Details regarding project P-SD-AAZ-006
P-MG-F00-002 represents PROGRAMME D’APPUI AUX REFORMES DU SECTEUR DE L’ENERGIE (PARSE) happening in Madagascar which has status as Closed ->,P-MG-F00-002,Closed,Programme d’appui aux reformes du secteur de l’energie (parse) happening in madagascar,25-Nov-2016.,Details regarding project P-MG-F00-002
P-Z1-DD0-010 represents LAPSSET- LAMU PORT SOUTH SUDAN ETHIOPIA happening in Multinational which has status as Ongoing ->,P-Z1-DD0-010,Ongoing,Lapsset- lamu port south sudan ethiopia happening in multinational,24-Nov-2016.,Details regarding project P-Z1-DD0-010
P-Z1-F00-065 represents 330KV KOLWEZI-SOLWEZI MULTINATIONAL POWER INTERCONNECTOR PROJECT happening in Multinational which has status as Ongoing ->,P-Z1-F00-065,Ongoing,330kv kolwezi-solwezi multinational power interconnector project happening in multinational,24-Nov-2016.,Details regarding project P-Z1-F00-065
P-CM-DB0-015 represents PROGRAMME D'APPUI AU SECTEUR DES TRANSPORTS - PHASE 2/ YAOUNDÉ-BAF; MAROUA-POUSS; GD ZAMBI-KRIBI happening in Cameroon which has status as Ongoing ->,P-CM-DB0-015,Ongoing,Programme d'appui au secteur des transports - phase 2/ yaoundé-baf; maroua-pouss; gd zambi-kribi happening in cameroon,23-Nov-2016.,Details regarding project P-CM-DB0-015
P-MG-CZ0-002 represents PROJET D’AMELIORATION DE L’EFFICACITE POUR LA REDUCTION DES RISQUES DE CATASTROPHES happening in Madagascar which has status as Ongoing ->,P-MG-CZ0-002,Ongoing,Projet d’amelioration de l’efficacite pour la reduction des risques de catastrophes happening in madagascar,23-Nov-2016.,Details regarding project P-MG-CZ0-002
P-MR-K00-016 represents PROGRAMME D’APPUI AU RÉFORMES ECONOMIQUES ET À LA DIVERSIFICATION DE L’ECONOMIE (PAREDE) happening in Mauritania which has status as Completed ->,P-MR-K00-016,Completed,Programme d’appui au réformes economiques et à la diversification de l’economie (parede) happening in mauritania,23-Nov-2016.,Details regarding project P-MR-K00-016
P-RW-EA0-013 represents RWANDA NATIONAL WATER SUPPLY AND SANITATION MASTERPLANS happening in Rwanda which has status as Ongoing ->,P-RW-EA0-013,Ongoing,Rwanda national water supply and sanitation masterplans happening in rwanda,21-Nov-2016.,Details regarding project P-RW-EA0-013
"P-ER-EAZ-003 represents GROUNDWATER ASSESSMENT, AQUIFER MAPPING AND WELL DEVELOPMENT happening in Eritrea which has status as Ongoing ->",P-ER-EAZ-003,Ongoing,"Groundwater assessment, aquifer mapping and well development happening in eritrea",18-Nov-2016.,Details regarding project P-ER-EAZ-003
P-KE-HAB-022 represents DIAMOND TRUST BANK LOC I happening in Kenya which has status as Approved ->,P-KE-HAB-022,Approved,Diamond trust bank loc i happening in kenya,18-Nov-2016.,Details regarding project P-KE-HAB-022
"P-SN-EA0-007 represents PROJET DE RENFORCEMENT DE L’ALIMENTATION EN EAU POUR MULTI USAGES SUR L'AXE LOUGA-THIES-DAKAR, KMS happening in Senegal which has status as Ongoing ->",P-SN-EA0-007,Ongoing,"Projet de renforcement de l’alimentation en eau pour multi usages sur l'axe louga-thies-dakar, kms happening in senegal",18-Nov-2016.,Details regarding project P-SN-EA0-007
P-Z1-HAB-052 represents RPA 2 USD 200 MILLION STANDARD CHARTERED BANK happening in Multinational which has status as Ongoing ->,P-Z1-HAB-052,Ongoing,Rpa 2 usd 200 million standard chartered bank happening in multinational,18-Nov-2016.,Details regarding project P-Z1-HAB-052
P-ZM-AAF-002 represents AQUACULTURE ENTERPRISE DEV. PROJECT happening in Zambia which has status as Ongoing ->,P-ZM-AAF-002,Ongoing,Aquaculture enterprise dev. project happening in zambia,18-Nov-2016.,Details regarding project P-ZM-AAF-002
P-ZM-E00-011 represents INTEGRATED SMALL TOWNS WATER AND SANITATION PROJECT happening in Zambia which has status as Ongoing ->,P-ZM-E00-011,Ongoing,Integrated small towns water and sanitation project happening in zambia,18-Nov-2016.,Details regarding project P-ZM-E00-011
P-CI-FA0-014 represents RENFORCEMENT DU RESEAU DE TRANSPORT D'ELECTRCITE DANS LA REGION OUEST DE LA COTE D'IVOIRE happening in Côte D'Ivoire which has status as Ongoing ->,P-CI-FA0-014,Ongoing,Renforcement du reseau de transport d'electrcite dans la region ouest de la cote d'ivoire happening in côte d'ivoire,16-Nov-2016.,Details regarding project P-CI-FA0-014
P-Z1-FA0-115 represents SUPPLEMENTARY LOAN FOR NELSAP INTERCONNECTION PROJECT - UGANDA happening in Multinational which has status as Ongoing ->,P-Z1-FA0-115,Ongoing,Supplementary loan for nelsap interconnection project - uganda happening in multinational,15-Nov-2016.,Details regarding project P-Z1-FA0-115
P-MW-A00-006 represents FOOD CRISIS RESPONSE BUDGET SUPPORT PROGRAMME happening in Malawi which has status as Completed ->,P-MW-A00-006,Completed,Food crisis response budget support programme happening in malawi,11-Nov-2016.,Details regarding project P-MW-A00-006
P-KE-E00-011 represents KENYA TOWNS SUSTAINABLE WATER SUPPLY AND SANITATION PROGRAM happening in Kenya which has status as Ongoing ->,P-KE-E00-011,Ongoing,Kenya towns sustainable water supply and sanitation program happening in kenya,09-Nov-2016.,Details regarding project P-KE-E00-011
P-EG-I00-012 represents MIC - INFORMAL SETTLEMENTS DEVELOPMENT PROJECT happening in Egypt which has status as Ongoing ->,P-EG-I00-012,Ongoing,Mic - informal settlements development project happening in egypt,08-Nov-2016.,Details regarding project P-EG-I00-012
P-NG-KD0-001 represents MIC-TAF: REHABILITATION OF INDUSTRIAL CLUSTERS AS A DRIVER OF SMES INDUSTRIAL DEVELOPMENT IN NIGERIA happening in Nigeria which has status as Completed ->,P-NG-KD0-001,Completed,Mic-taf: rehabilitation of industrial clusters as a driver of smes industrial development in nigeria happening in nigeria,08-Nov-2016.,Details regarding project P-NG-KD0-001
P-CM-KA0-009 represents PROJET D'APPUI A L'AMELIORATION DE L'EFFICACITE DE LA DEPENSE PUBLIQUE happening in Cameroon which has status as Approved ->,P-CM-KA0-009,Approved,Projet d'appui a l'amelioration de l'efficacite de la depense publique happening in cameroon,07-Nov-2016.,Details regarding project P-CM-KA0-009
P-GN-K00-009 represents PROJET D’APPUI AU RENFORCEMENT DES CAPACITÉS DE L’ADMINISTRATION POUR LA GESTION PROJETS INTÉG happening in Guinea which has status as Ongoing ->,P-GN-K00-009,Ongoing,Projet d’appui au renforcement des capacités de l’administration pour la gestion projets intég happening in guinea,04-Nov-2016.,Details regarding project P-GN-K00-009
P-NG-IC0-003 represents EMERGENCY ASSISTANCE TO SUPPORT THE FIGHT AGAINST MALNUTRITION IN BORNO STATE happening in Nigeria which has status as Completed ->,P-NG-IC0-003,Completed,Emergency assistance to support the fight against malnutrition in borno state happening in nigeria,04-Nov-2016.,Details regarding project P-NG-IC0-003
P-TD-IAG-001 represents ETUDES PREPARATOIRES DU PROJET PROMOTION DE FORMATION DES FILLES ET L’ALPHABETISATION DES FEMMES happening in Chad which has status as Ongoing ->,P-TD-IAG-001,Ongoing,Etudes preparatoires du projet promotion de formation des filles et l’alphabetisation des femmes happening in chad,04-Nov-2016.,Details regarding project P-TD-IAG-001
P-DZ-K00-007 represents PROGRAMME D’APPUI BUDGÉTAIRE À LA COMPÉTITIVITÉ INDUSTRIELLE ET ENERGÉTIQUE (PACIE) happening in Algeria which has status as Ongoing ->,P-DZ-K00-007,Ongoing,Programme d’appui budgétaire à la compétitivité industrielle et energétique (pacie) happening in algeria,02-Nov-2016.,Details regarding project P-DZ-K00-007
P-NE-KA0-011 represents PROGRAMME D'APPUI AUX REFORMES FINANCIERE ET A LA SECURITE ALIMENTAIRE 2È PHASE -PAREFSA II happening in Niger which has status as Completed ->,P-NE-KA0-011,Completed,Programme d'appui aux reformes financiere et a la securite alimentaire 2è phase -parefsa ii happening in niger,02-Nov-2016.,Details regarding project P-NE-KA0-011
"P-NG-KA0-002 represents ECONOMIC GOVERNANCE, DIVERSIFICATION AND COMPETITIVENESS SUPPORT PROGRAM (EGDCSP) 2016 happening in Nigeria which has status as Completed ->",P-NG-KA0-002,Completed,"Economic governance, diversification and competitiveness support program (egdcsp) 2016 happening in nigeria",02-Nov-2016.,Details regarding project P-NG-KA0-002
P-TN-IAZ-002 represents PROGRAMME D’APPUI AU DÉVELOPPEMENT RÉGIONAL INCLUSIF (PADRI) happening in Tunisia which has status as Ongoing ->,P-TN-IAZ-002,Ongoing,Programme d’appui au développement régional inclusif (padri) happening in tunisia,02-Nov-2016.,Details regarding project P-TN-IAZ-002
P-RW-FA0-013 represents INCREASING CLIMATE CHANGE ADAPATIVE CAPACITY OF RWANDAN COMMUNITIES happening in Rwanda which has status as Ongoing ->,P-RW-FA0-013,Ongoing,Increasing climate change adapative capacity of rwandan communities happening in rwanda,31-Oct-2016.,Details regarding project P-RW-FA0-013
P-ZW-IE0-003 represents YOUTH AND WOMEN EMPOWERMENT PROJECT happening in Zimbabwe which has status as Ongoing ->,P-ZW-IE0-003,Ongoing,Youth and women empowerment project happening in zimbabwe,31-Oct-2016.,Details regarding project P-ZW-IE0-003
P-Z1-EAZ-048 represents ORANGE-SENGU IVESTMENT PLAN AND PROJECT PREPARATION happening in Multinational which has status as Ongoing ->,P-Z1-EAZ-048,Ongoing,Orange-sengu ivestment plan and project preparation happening in multinational,26-Oct-2016.,Details regarding project P-Z1-EAZ-048
P-Z1-KF0-049 represents SUPPORT TO THE AFRICAN CAPACITY BUILDING FOUNDATION FOR SMTP III happening in Multinational which has status as Ongoing ->,P-Z1-KF0-049,Ongoing,Support to the african capacity building foundation for smtp iii happening in multinational,25-Oct-2016.,Details regarding project P-Z1-KF0-049
P-Z1-GB0-021 represents TANZANIA - LAKE VICTORIA MARITIME COMMUNICATIONS AND TRANSPORT PROJECT happening in Multinational which has status as Ongoing ->,P-Z1-GB0-021,Ongoing,Tanzania - lake victoria maritime communications and transport project happening in multinational,24-Oct-2016.,Details regarding project P-Z1-GB0-021
P-Z1-GB0-030 represents UGANDA - LAKE VICTORIA MARITIME COMMUNICATIONS AND TRANSPORT PROJECT happening in Multinational which has status as Ongoing ->,P-Z1-GB0-030,Ongoing,Uganda - lake victoria maritime communications and transport project happening in multinational,24-Oct-2016.,Details regarding project P-Z1-GB0-030
P-Z1-GB0-031 represents KENYA - LAKE VICTORIA MARITIME COMMUNICATIONS AND TRANSPORT PROJECT happening in Multinational which has status as Approved ->,P-Z1-GB0-031,Approved,Kenya - lake victoria maritime communications and transport project happening in multinational,24-Oct-2016.,Details regarding project P-Z1-GB0-031
P-CI-AA0-023 represents PROJET DE DEVELOPPEMENT DES CHAINES DE VALEUR DANS LA RÉGION DE L'INDÉNIÉ-DJUABLIN (PDC-ID) happening in Côte D'Ivoire which has status as Ongoing ->,P-CI-AA0-023,Ongoing,Projet de developpement des chaines de valeur dans la région de l'indénié-djuablin (pdc-id) happening in côte d'ivoire,21-Oct-2016.,Details regarding project P-CI-AA0-023
P-NG-IAD-001 represents AFE BABALOLA UNIVERSITY NIGERIA happening in Nigeria which has status as Ongoing ->,P-NG-IAD-001,Ongoing,Afe babalola university nigeria happening in nigeria,19-Oct-2016.,Details regarding project P-NG-IAD-001
P-TN-HAB-003 represents LIGNE DE CREDIT POUR LE FINANCEMENT DU COMMERCE POUR LA BH TUNISIE happening in Tunisia which has status as Ongoing ->,P-TN-HAB-003,Ongoing,Ligne de credit pour le financement du commerce pour la bh tunisie happening in tunisia,19-Oct-2016.,Details regarding project P-TN-HAB-003
P-CV-AAF-009 represents MIC-CAP VERT ECONOMIE BLEUE happening in Cape Verde which has status as Ongoing ->,P-CV-AAF-009,Ongoing,Mic-cap vert economie bleue happening in cape verde,17-Oct-2016.,Details regarding project P-CV-AAF-009
P-DZ-KD0-002 represents APPUI A L'ORGANISATION DU FORUM AFRICAIN DES AFFAIRES ET DE L'INVESTISSEMENT happening in Algeria which has status as Completed ->,P-DZ-KD0-002,Completed,Appui a l'organisation du forum africain des affaires et de l'investissement happening in algeria,13-Oct-2016.,Details regarding project P-DZ-KD0-002
P-SO-KF0-010 represents SOMALIA NATIONAL STATISTICAL CAPACITY BUILDING PROJECT happening in Somalia which has status as Ongoing ->,P-SO-KF0-010,Ongoing,Somalia national statistical capacity building project happening in somalia,13-Oct-2016.,Details regarding project P-SO-KF0-010
P-ZA-HB0-003 represents HOUSING INVESTMENT PARTNERS TRUST - HIP2 happening in South Africa which has status as Approved ->,P-ZA-HB0-003,Approved,Housing investment partners trust - hip2 happening in south africa,12-Oct-2016.,Details regarding project P-ZA-HB0-003
P-EG-HA0-001 represents RESTRUCTURING OF NASSER SOCIAL BANK happening in Egypt which has status as Ongoing ->,P-EG-HA0-001,Ongoing,Restructuring of nasser social bank happening in egypt,11-Oct-2016.,Details regarding project P-EG-HA0-001
P-Z1-AAG-004 represents OLAM AFRICA INVESTMENT PROGRAM happening in Multinational which has status as Ongoing ->,P-Z1-AAG-004,Ongoing,Olam africa investment program happening in multinational,28-Sep-2016.,Details regarding project P-Z1-AAG-004
P-SN-AAG-001 represents PROJET RIZICOLE DE LA COMPAGNIE AGRICOLE DE SAINT-LOUIS DU SÉNÉGAL (CASL) happening in Senegal which has status as Ongoing ->,P-SN-AAG-001,Ongoing,Projet rizicole de la compagnie agricole de saint-louis du sénégal (casl) happening in senegal,28-Sep-2016.,Details regarding project P-SN-AAG-001
P-GH-DB0-017 represents ACCRA URBAN TRANSPORT happening in Ghana which has status as Ongoing ->,P-GH-DB0-017,Ongoing,Accra urban transport happening in ghana,28-Sep-2016.,Details regarding project P-GH-DB0-017
P-MW-AAZ-004 represents AGRICULTURAL INFRASTRUCTURE AND YOUTH AGRIBUSINESS PROJECT (MEDIUM SCALE IRRIG & YOUTH EMPOWERMENT) happening in Malawi which has status as Ongoing ->,P-MW-AAZ-004,Ongoing,Agricultural infrastructure and youth agribusiness project (medium scale irrig & youth empowerment) happening in malawi,28-Sep-2016.,Details regarding project P-MW-AAZ-004
P-Z1-AAZ-038 represents EXPORT TRADING COMPANY GROUP - ETG happening in Multinational which has status as Approved ->,P-Z1-AAZ-038,Approved,Export trading company group - etg happening in multinational,28-Sep-2016.,Details regarding project P-Z1-AAZ-038
P-GH-AA0-036 represents FORM GHANA REFORESTATION PROJECT happening in Ghana which has status as Approved ->,P-GH-AA0-036,Approved,Form ghana reforestation project happening in ghana,22-Sep-2016.,Details regarding project P-GH-AA0-036
P-Z1-DB0-173 represents PROJET D'ETUDE DETAILLEE DE CONSTRUCTION DU PONT SUR LE NTEM- MULTINATIONALE KRIBI-CAMPO-BATA happening in Multinational which has status as Ongoing ->,P-Z1-DB0-173,Ongoing,Projet d'etude detaillee de construction du pont sur le ntem- multinationale kribi-campo-bata happening in multinational,22-Sep-2016.,Details regarding project P-Z1-DB0-173
P-BF-FA0-007 represents PROJET D'ELECTRIFICATION ZONES PERI-URBAINES DE OUAGADOUGOU ET DE BOBO DIOULASSO (PEPU) happening in Burkina Faso which has status as Ongoing ->,P-BF-FA0-007,Ongoing,Projet d'electrification zones peri-urbaines de ouagadougou et de bobo dioulasso (pepu) happening in burkina faso,21-Sep-2016.,Details regarding project P-BF-FA0-007
P-CD-AA0-009 represents ETUDE DE FAISABILITÉ DES PARCS INDUSTRIELS happening in Dem Rep Congo which has status as Completed ->,P-CD-AA0-009,Completed,Etude de faisabilité des parcs industriels happening in dem rep congo,21-Sep-2016.,Details regarding project P-CD-AA0-009
P-MR-I00-001 represents PROJET D’APPUI A LA PROMOTION DES MICRO PETITES & MOYENNES ENTREPRISES ET A L’EMPLOI DES JEUNES happening in Mauritania which has status as Ongoing ->,P-MR-I00-001,Ongoing,Projet d’appui a la promotion des micro petites & moyennes entreprises et a l’emploi des jeunes happening in mauritania,21-Sep-2016.,Details regarding project P-MR-I00-001
P-Z1-DB0-130 represents ABIDJAN-LAGOS CORRIDOR HIGHWAY DEVELOPMENT PROJECT STUDY-COTE D'IVOIRE happening in Multinational which has status as Approved ->,P-Z1-DB0-130,Approved,Abidjan-lagos corridor highway development project study-cote d'ivoire happening in multinational,21-Sep-2016.,Details regarding project P-Z1-DB0-130
P-Z1-DB0-176 represents ABIDJAN-LAGOS CORRIDOR HIGHWAY DEVELOPMENT PROJECT STUDY-NIGERIA happening in Multinational which has status as Approved ->,P-Z1-DB0-176,Approved,Abidjan-lagos corridor highway development project study-nigeria happening in multinational,21-Sep-2016.,Details regarding project P-Z1-DB0-176
P-Z1-DB0-177 represents ABIDJAN-LAGOS CORRIDOR HIGHWAY DEVELOPMENT PROJECT STUDY-BENIN happening in Multinational which has status as Ongoing ->,P-Z1-DB0-177,Ongoing,Abidjan-lagos corridor highway development project study-benin happening in multinational,21-Sep-2016.,Details regarding project P-Z1-DB0-177
P-Z1-DB0-178 represents ABIDJAN-LAGOS CORRIDOR HIGHWAY DEVELOPMENT PROJECT STUDY-TOGO happening in Multinational which has status as Approved ->,P-Z1-DB0-178,Approved,Abidjan-lagos corridor highway development project study-togo happening in multinational,21-Sep-2016.,Details regarding project P-Z1-DB0-178
P-Z1-DB0-179 represents ABIDJAN-LAGOS CORRIDOR HIGHWAY DEVELOPMENT PROJECT STUDY-CEDEAO happening in Multinational which has status as Approved ->,P-Z1-DB0-179,Approved,Abidjan-lagos corridor highway development project study-cedeao happening in multinational,21-Sep-2016.,Details regarding project P-Z1-DB0-179
P-Z1-HA0-008 represents PROMOTION DE L'ACCÈS DES SYSTÈMES FINANC happening in Multinational which has status as Ongoing ->,P-Z1-HA0-008,Ongoing,Promotion de l'accès des systèmes financ happening in multinational,21-Sep-2016.,Details regarding project P-Z1-HA0-008
