,prompt,completion,project code,project_status,project name,Approval date,Code Questions
181,P-Z1-KF0-053 represents STRENGTHENING REGIONAL AND NATIONAL INSTITUTIONS FOR REDUCTION OF PROLIFERATION OF SMALL ARMS. happening in Multinational which has status as Ongoing ->,"Project was approved on 21-Mar-2018. 
",P-Z1-KF0-053,Ongoing,STRENGTHENING REGIONAL AND NATIONAL INSTITUTIONS FOR REDUCTION OF PROLIFERATION OF SMALL ARMS. happening in Multinational,21-Mar-2018.,Details regarding project P-Z1-KF0-053
182,P-LS-FA0-005 represents RENEWABLE ENERGY INTEGRATION STUDY happening in Lesotho which has status as Ongoing ->,"Project was approved on 14-Mar-2018. 
",P-LS-FA0-005,Ongoing,RENEWABLE ENERGY INTEGRATION STUDY happening in Lesotho,14-Mar-2018.,Details regarding project P-LS-FA0-005
183,P-RW-E00-011 represents RWANDA - SUSTAINABLE WATER SUPPLY AND SANITATION PROGRAM happening in Rwanda which has status as Ongoing ->,"Project was approved on 12-Mar-2018. 
",P-RW-E00-011,Ongoing,RWANDA - SUSTAINABLE WATER SUPPLY AND SANITATION PROGRAM happening in Rwanda,12-Mar-2018.,Details regarding project P-RW-E00-011
184,P-RW-G00-001 represents RWANDA INNOVATION FUND PROJECT- AIF RWANDA happening in Rwanda which has status as Approved ->,"Project was approved on 07-Mar-2018. 
",P-RW-G00-001,Approved,RWANDA INNOVATION FUND PROJECT- AIF RWANDA happening in Rwanda,07-Mar-2018.,Details regarding project P-RW-G00-001
185,P-CD-HAB-005 represents RAWBANK happening in Dem Rep Congo which has status as Approved ->,"Project was approved on 07-Mar-2018. 
",P-CD-HAB-005,Approved,RAWBANK happening in Dem Rep Congo,07-Mar-2018.,Details regarding project P-CD-HAB-005
186,P-AO-HAB-007 represents BANCO BAI TRADE FINANCE LINE OF CREDIT happening in Angola which has status as Approved ->,"Project was approved on 28-Feb-2018. 
",P-AO-HAB-007,Approved,BANCO BAI TRADE FINANCE LINE OF CREDIT happening in Angola,28-Feb-2018.,Details regarding project P-AO-HAB-007
187,P-Z1-HB0-057 represents AFRICAN LOCAL CURRENCY BOND FUND happening in Multinational which has status as Ongoing ->,"Project was approved on 31-Jan-2018. 
",P-Z1-HB0-057,Ongoing,AFRICAN LOCAL CURRENCY BOND FUND happening in Multinational,31-Jan-2018.,Details regarding project P-Z1-HB0-057
188,P-CF-K00-007 represents PROGRAMME DAPPUI AUX REFORMES ECONOMIQUES ET FINANCIERES PHASE II (PAREF II) happening in Centrafrique which has status as Approved ->,"Project was approved on 29-Jan-2018. 
",P-CF-K00-007,Approved,PROGRAMME DAPPUI AUX REFORMES ECONOMIQUES ET FINANCIERES PHASE II (PAREF II) happening in Centrafrique,29-Jan-2018.,Details regarding project P-CF-K00-007
189,P-MZ-AA0-033 represents DROUGHT RECOVERY AND AGRICULTURE RESILIENCE PROJECT happening in Mozambique which has status as Ongoing ->,"Project was approved on 18-Jan-2018. 
",P-MZ-AA0-033,Ongoing,DROUGHT RECOVERY AND AGRICULTURE RESILIENCE PROJECT happening in Mozambique,18-Jan-2018.,Details regarding project P-MZ-AA0-033
190,P-EG-K00-011 represents ECONOMIC GOVERNANCE AND ENERGY SUPPORT PROGRAM III happening in Egypt which has status as Ongoing ->,"Project was approved on 17-Jan-2018. 
",P-EG-K00-011,Ongoing,ECONOMIC GOVERNANCE AND ENERGY SUPPORT PROGRAM III happening in Egypt,17-Jan-2018.,Details regarding project P-EG-K00-011
191,P-MZ-I00-002 represents UNILÚRIO-SUPPORT TO SKILLS DEVELOPMENT FOR AGRICULTURE AND INFRASTRUCTURE PROJECT happening in Mozambique which has status as Ongoing ->,"Project was approved on 16-Jan-2018. 
",P-MZ-I00-002,Ongoing,UNILÚRIO-SUPPORT TO SKILLS DEVELOPMENT FOR AGRICULTURE AND INFRASTRUCTURE PROJECT happening in Mozambique,16-Jan-2018.,Details regarding project P-MZ-I00-002
192,P-Z1-HB0-013 represents PADMAFIR (WAEMU REG. FINANCIAL MARKET SUPPORT) happening in Multinational which has status as Approved ->,"Project was approved on 16-Jan-2018. 
",P-Z1-HB0-013,Approved,PADMAFIR (WAEMU REG. FINANCIAL MARKET SUPPORT) happening in Multinational,16-Jan-2018.,Details regarding project P-Z1-HB0-013
193,P-SD-KA0-007 represents POLICY SUPPORT TO PREPARATION FOR DEBT RELIEF happening in Sudan which has status as Ongoing ->,"Project was approved on 12-Jan-2018. 
",P-SD-KA0-007,Ongoing,POLICY SUPPORT TO PREPARATION FOR DEBT RELIEF happening in Sudan,12-Jan-2018.,Details regarding project P-SD-KA0-007
194,P-KE-AAZ-014 represents ENABLE YOUTH KENYA happening in Kenya which has status as Ongoing ->,"Project was approved on 11-Jan-2018. 
",P-KE-AAZ-014,Ongoing,ENABLE YOUTH KENYA happening in Kenya,11-Jan-2018.,Details regarding project P-KE-AAZ-014
195,P-MG-AA0-039 represents PROGRAMME DE PROMOTION DE L'ENTREPREUNARIAT DES JEUNES DANS L'AGRICULTURE ET L'AGRO-INDUSTRIE happening in Madagascar which has status as Ongoing ->,"Project was approved on 11-Jan-2018. 
",P-MG-AA0-039,Ongoing,PROGRAMME DE PROMOTION DE L'ENTREPREUNARIAT DES JEUNES DANS L'AGRICULTURE ET L'AGRO-INDUSTRIE happening in Madagascar,11-Jan-2018.,Details regarding project P-MG-AA0-039
196,P-MW-KF0-005 represents PROMOTING INVESTMENT AND COMPETITIVNESS IN TOURISM SECTOR (PICTS) PROJECT happening in Malawi which has status as Ongoing ->,"Project was approved on 11-Jan-2018. 
",P-MW-KF0-005,Ongoing,PROMOTING INVESTMENT AND COMPETITIVNESS IN TOURISM SECTOR (PICTS) PROJECT happening in Malawi,11-Jan-2018.,Details regarding project P-MW-KF0-005
197,P-NA-E00-004 represents WINDHOEK INTEGRATED WATER SUPPLY AND SANITATION MASTER PLAN AND PROJECT PREPARATION happening in Namibia which has status as Ongoing ->,"Project was approved on 11-Jan-2018. 
",P-NA-E00-004,Ongoing,WINDHOEK INTEGRATED WATER SUPPLY AND SANITATION MASTER PLAN AND PROJECT PREPARATION happening in Namibia,11-Jan-2018.,Details regarding project P-NA-E00-004
198,P-SD-I00-004 represents IMPROVING HEALTH ACCESS AND SYSTEMS STRENGTHENING PROJECT (SUDAN) happening in Sudan which has status as Ongoing ->,"Project was approved on 11-Jan-2018. 
",P-SD-I00-004,Ongoing,IMPROVING HEALTH ACCESS AND SYSTEMS STRENGTHENING PROJECT (SUDAN) happening in Sudan,11-Jan-2018.,Details regarding project P-SD-I00-004
199,P-CD-KF0-009 represents PROJ APPUI À LA MOBILISATION DES RESSOURCES INTERNES/MODERNISATION DES FINANCES PUBLIQUES(PAMRIM-FP happening in Dem Rep Congo which has status as Ongoing ->,"Project was approved on 10-Jan-2018. 
",P-CD-KF0-009,Ongoing,PROJ APPUI À LA MOBILISATION DES RESSOURCES INTERNES/MODERNISATION DES FINANCES PUBLIQUES(PAMRIM-FP happening in Dem Rep Congo,10-Jan-2018.,Details regarding project P-CD-KF0-009
200,P-NE-KA0-012 represents PROGRAMME D'APPUI AUX RÉFORMES ÉCONOMIQUES happening in Niger which has status as Completed ->,"Project was approved on 10-Jan-2018. 
",P-NE-KA0-012,Completed,PROGRAMME D'APPUI AUX RÉFORMES ÉCONOMIQUES happening in Niger,10-Jan-2018.,Details regarding project P-NE-KA0-012
201,P-Z1-GZ0-001 represents FEASIBILITY STUDY FOR GABON-ICT BACKBONE PROJECT happening in Multinational which has status as Ongoing ->,"Project was approved on 29-Dec-2017. 
",P-Z1-GZ0-001,Ongoing,FEASIBILITY STUDY FOR GABON-ICT BACKBONE PROJECT happening in Multinational,29-Dec-2017.,Details regarding project P-Z1-GZ0-001
202,P-LS-BZ0-001 represents ECONOMIC DIVERSIFICATION SUPPORT TECHNICAL ASSISTANCE PROJECT happening in Lesotho which has status as Ongoing ->,"Project was approved on 20-Dec-2017. 
",P-LS-BZ0-001,Ongoing,ECONOMIC DIVERSIFICATION SUPPORT TECHNICAL ASSISTANCE PROJECT happening in Lesotho,20-Dec-2017.,Details regarding project P-LS-BZ0-001
203,P-AO-AAZ-001 represents CABINDA PROVINCE AGRICULTURE VALUE CHAINS DEVELOPMENT PROJECT happening in Angola which has status as Ongoing ->,"Project was approved on 15-Dec-2017. 
",P-AO-AAZ-001,Ongoing,CABINDA PROVINCE AGRICULTURE VALUE CHAINS DEVELOPMENT PROJECT happening in Angola,15-Dec-2017.,Details regarding project P-AO-AAZ-001
204,P-BI-K00-013 represents PROJET D'APPUI A LA TRANSFORMATION DE L'AGRICULTURE DANS LA REGION NATURELLE DU BUGESERA happening in Burundi which has status as Ongoing ->,"Project was approved on 15-Dec-2017. 
",P-BI-K00-013,Ongoing,PROJET D'APPUI A LA TRANSFORMATION DE L'AGRICULTURE DANS LA REGION NATURELLE DU BUGESERA happening in Burundi,15-Dec-2017.,Details regarding project P-BI-K00-013
205,P-CF-GB0-002 represents PROJET CENTRAL AFRICA BACKBONE (CAB) – COMPOSANTE RCA happening in Centrafrique which has status as Ongoing ->,"Project was approved on 15-Dec-2017. 
",P-CF-GB0-002,Ongoing,PROJET CENTRAL AFRICA BACKBONE (CAB) – COMPOSANTE RCA happening in Centrafrique,15-Dec-2017.,Details regarding project P-CF-GB0-002
206,P-EG-EBA-003 represents SUSTINABLE ABU-RAWASH WASTEWATER TREATEMENT PROJECT - PHASE II happening in Egypt which has status as Ongoing ->,"Project was approved on 15-Dec-2017. 
",P-EG-EBA-003,Ongoing,SUSTINABLE ABU-RAWASH WASTEWATER TREATEMENT PROJECT - PHASE II happening in Egypt,15-Dec-2017.,Details regarding project P-EG-EBA-003
207,P-GH-AAZ-001 represents SAVANNAH ZONE AGRICULTURAL PRODUCTIVITY IMPROVEMENT PROJECT happening in Ghana which has status as Ongoing ->,"Project was approved on 15-Dec-2017. 
",P-GH-AAZ-001,Ongoing,SAVANNAH ZONE AGRICULTURAL PRODUCTIVITY IMPROVEMENT PROJECT happening in Ghana,15-Dec-2017.,Details regarding project P-GH-AAZ-001
208,P-ML-KA0-007 represents PROGRAMME D'APPUI A LA CROISSANCE ECONOMIQUE PHASE I (PACE I) happening in Mali which has status as Completed ->,"Project was approved on 15-Dec-2017. 
",P-ML-KA0-007,Completed,PROGRAMME D'APPUI A LA CROISSANCE ECONOMIQUE PHASE I (PACE I) happening in Mali,15-Dec-2017.,Details regarding project P-ML-KA0-007
209,P-MR-HZ0-004 represents PROJET D'APPUI A LA MODERNISATION DE L INFRASTRUCTURE FINANCIERE happening in Mauritania which has status as Ongoing ->,"Project was approved on 15-Dec-2017. 
",P-MR-HZ0-004,Ongoing,PROJET D'APPUI A LA MODERNISATION DE L INFRASTRUCTURE FINANCIERE happening in Mauritania,15-Dec-2017.,Details regarding project P-MR-HZ0-004
210,P-MR-K00-017 represents PROGR. APPUI AU RÉFORMES ECON.& À LA DIVERSIFICATION DE L’ECONOMIE PHASE II (PAREDE PHASE 2) happening in Mauritania which has status as Ongoing ->,"Project was approved on 15-Dec-2017. 
",P-MR-K00-017,Ongoing,PROGR. APPUI AU RÉFORMES ECON.& À LA DIVERSIFICATION DE L’ECONOMIE PHASE II (PAREDE PHASE 2) happening in Mauritania,15-Dec-2017.,Details regarding project P-MR-K00-017
211,P-SO-KF0-006 represents ECONOMIC AND FINANCIAL GOVERNANCE INSTITUTION SUPPORT PROJECT (PHASE II) happening in Somalia which has status as Ongoing ->,"Project was approved on 15-Dec-2017. 
",P-SO-KF0-006,Ongoing,ECONOMIC AND FINANCIAL GOVERNANCE INSTITUTION SUPPORT PROJECT (PHASE II) happening in Somalia,15-Dec-2017.,Details regarding project P-SO-KF0-006
212,P-UG-E00-018 represents SUPPLEMENTARY LOAN TO KAMPALA SANITATION PROGRAM (AFKSP) happening in Uganda which has status as Ongoing ->,"Project was approved on 15-Dec-2017. 
",P-UG-E00-018,Ongoing,SUPPLEMENTARY LOAN TO KAMPALA SANITATION PROGRAM (AFKSP) happening in Uganda,15-Dec-2017.,Details regarding project P-UG-E00-018
213,P-Z1-A00-019 represents RURAL LIVELIHOODS’ ADAPTATION TO CLIMATE CHANGE IN THE HORN OF AFRICA II (RLACC II)-SUDAN happening in Multinational which has status as Ongoing ->,"Project was approved on 15-Dec-2017. 
",P-Z1-A00-019,Ongoing,RURAL LIVELIHOODS’ ADAPTATION TO CLIMATE CHANGE IN THE HORN OF AFRICA II (RLACC II)-SUDAN happening in Multinational,15-Dec-2017.,Details regarding project P-Z1-A00-019
214,P-Z1-A00-023 represents RURAL LIVELIHOODS’ ADAPTATION TO CLIMATE CHANGE IN THE HORN OF AFRICA II (RLACC II)-SOMALIA happening in Multinational which has status as Ongoing ->,"Project was approved on 15-Dec-2017. 
",P-Z1-A00-023,Ongoing,RURAL LIVELIHOODS’ ADAPTATION TO CLIMATE CHANGE IN THE HORN OF AFRICA II (RLACC II)-SOMALIA happening in Multinational,15-Dec-2017.,Details regarding project P-Z1-A00-023
215,P-Z1-FA0-072 represents PROJET D'INTERCONNEXION DES RESEAUX ELECTRIQUES CAMEROUN-TCHAD(CAMEROUN) happening in Multinational which has status as Approved ->,"Project was approved on 15-Dec-2017. 
",P-Z1-FA0-072,Approved,PROJET D'INTERCONNEXION DES RESEAUX ELECTRIQUES CAMEROUN-TCHAD(CAMEROUN) happening in Multinational,15-Dec-2017.,Details regarding project P-Z1-FA0-072
216,P-Z1-FA0-146 represents BURKINA FASO-PROJET D'INTERCONNEXION NIGERIA-NIGER-BENIN-BURKINA FASO happening in Multinational which has status as Approved ->,"Project was approved on 15-Dec-2017. 
",P-Z1-FA0-146,Approved,BURKINA FASO-PROJET D'INTERCONNEXION NIGERIA-NIGER-BENIN-BURKINA FASO happening in Multinational,15-Dec-2017.,Details regarding project P-Z1-FA0-146
217,P-Z1-FA0-152 represents PROJET D'INTERCONNEXION DES RESEAUX ELECTRIQUES CAMEROUN-TCHAD(TCHAD) happening in Multinational which has status as Approved ->,"Project was approved on 15-Dec-2017. 
",P-Z1-FA0-152,Approved,PROJET D'INTERCONNEXION DES RESEAUX ELECTRIQUES CAMEROUN-TCHAD(TCHAD) happening in Multinational,15-Dec-2017.,Details regarding project P-Z1-FA0-152
218,P-SL-E00-006 represents FREETOWN WATER SUPPLY & SANITATION MASTER PLAN AND INVESTMENT STUDIES happening in Sierra Leone which has status as Ongoing ->,"Project was approved on 14-Dec-2017. 
",P-SL-E00-006,Ongoing,FREETOWN WATER SUPPLY & SANITATION MASTER PLAN AND INVESTMENT STUDIES happening in Sierra Leone,14-Dec-2017.,Details regarding project P-SL-E00-006
219,P-MG-E00-010 represents EMERGENCY ASSISTANCE PROJECT TO COMBAT THE OUTBREAK OF PLAGUE happening in Madagascar which has status as Ongoing ->,"Project was approved on 13-Dec-2017. 
",P-MG-E00-010,Ongoing,EMERGENCY ASSISTANCE PROJECT TO COMBAT THE OUTBREAK OF PLAGUE happening in Madagascar,13-Dec-2017.,Details regarding project P-MG-E00-010
220,P-NA-DZ0-001 represents NAMIBIA TRANSPORT INFRASTRUCTURE IMPROVEMENT PROJECT happening in Namibia which has status as Ongoing ->,"Project was approved on 13-Dec-2017. 
",P-NA-DZ0-001,Ongoing,NAMIBIA TRANSPORT INFRASTRUCTURE IMPROVEMENT PROJECT happening in Namibia,13-Dec-2017.,Details regarding project P-NA-DZ0-001
221,P-Z1-FA0-149 represents PROJET INTERCONNEXION ELECTRIQUE EN 225 KV GUINEE MALI happening in Multinational which has status as Ongoing ->,"Project was approved on 13-Dec-2017. 
",P-Z1-FA0-149,Ongoing,PROJET INTERCONNEXION ELECTRIQUE EN 225 KV GUINEE MALI happening in Multinational,13-Dec-2017.,Details regarding project P-Z1-FA0-149
222,P-BJ-FA0-004 represents RESTRUCTURATION ET RENFORCEMENT DU SYSTEME DE REPARTITION ET DE DISTRIBUTION DE LA SBEE (PRESREDI) happening in Benin which has status as Ongoing ->,"Project was approved on 12-Dec-2017. 
",P-BJ-FA0-004,Ongoing,RESTRUCTURATION ET RENFORCEMENT DU SYSTEME DE REPARTITION ET DE DISTRIBUTION DE LA SBEE (PRESREDI) happening in Benin,12-Dec-2017.,Details regarding project P-BJ-FA0-004
223,P-MU-HAB-001 represents MAUBANK LIMITED MAURITIUS SME BANK happening in Mauritius which has status as Approved ->,"Project was approved on 11-Dec-2017. 
",P-MU-HAB-001,Approved,MAUBANK LIMITED MAURITIUS SME BANK happening in Mauritius,11-Dec-2017.,Details regarding project P-MU-HAB-001
224,P-UG-AAZ-003 represents AGRICULTURAL VALUE CHAIN DEVELOPMENT PROGRAMME (AVCP) happening in Uganda which has status as Approved ->,"Project was approved on 11-Dec-2017. 
",P-UG-AAZ-003,Approved,AGRICULTURAL VALUE CHAIN DEVELOPMENT PROGRAMME (AVCP) happening in Uganda,11-Dec-2017.,Details regarding project P-UG-AAZ-003
225,P-Z1-DB0-181 represents CAMEROUN-PROJET REGIONAL INTEGRATEUR RESEAU ROUTIER DANS LE BASSIN DU LAC TCHAD - PONT SUR LE LOGONE happening in Multinational which has status as Ongoing ->,"Project was approved on 11-Dec-2017. 
",P-Z1-DB0-181,Ongoing,CAMEROUN-PROJET REGIONAL INTEGRATEUR RESEAU ROUTIER DANS LE BASSIN DU LAC TCHAD - PONT SUR LE LOGONE happening in Multinational,11-Dec-2017.,Details regarding project P-Z1-DB0-181
226,P-Z1-DB0-203 represents TCHAD-PROJET REGIONAL INTEGRATEUR RESEAU ROUTIER DANS LE BASSIN DU LAC TCHAD - PONT SUR LE LOGONE happening in Multinational which has status as Ongoing ->,"Project was approved on 11-Dec-2017. 
",P-Z1-DB0-203,Ongoing,TCHAD-PROJET REGIONAL INTEGRATEUR RESEAU ROUTIER DANS LE BASSIN DU LAC TCHAD - PONT SUR LE LOGONE happening in Multinational,11-Dec-2017.,Details regarding project P-Z1-DB0-203
227,P-MA-BB0-003 represents TEKCIM CEMENT happening in Morocco which has status as Approved ->,"Project was approved on 06-Dec-2017. 
",P-MA-BB0-003,Approved,TEKCIM CEMENT happening in Morocco,06-Dec-2017.,Details regarding project P-MA-BB0-003
228,P-MA-FF0-004 represents COMPLEXE SOLAIRE MIDELT - PHASE I - CENTRALE NOORM I happening in Morocco which has status as Approved ->,"Project was approved on 06-Dec-2017. 
",P-MA-FF0-004,Approved,COMPLEXE SOLAIRE MIDELT - PHASE I - CENTRALE NOORM I happening in Morocco,06-Dec-2017.,Details regarding project P-MA-FF0-004
229,P-MA-FF0-005 represents COMPLEXE SOLAIRE MIDELT - PHASE I - CENTRALE NOORM II happening in Morocco which has status as Approved ->,"Project was approved on 06-Dec-2017. 
",P-MA-FF0-005,Approved,COMPLEXE SOLAIRE MIDELT - PHASE I - CENTRALE NOORM II happening in Morocco,06-Dec-2017.,Details regarding project P-MA-FF0-005
230,P-MZ-AA0-031 represents PPF-VALUE CHAIN AND MARKET DEVELOPMENT PROGRAM ALONG PEMBA_LICHINGA CORRIDOR happening in Mozambique which has status as Ongoing ->,"Project was approved on 06-Dec-2017. 
",P-MZ-AA0-031,Ongoing,PPF-VALUE CHAIN AND MARKET DEVELOPMENT PROGRAM ALONG PEMBA_LICHINGA CORRIDOR happening in Mozambique,06-Dec-2017.,Details regarding project P-MZ-AA0-031
231,P-GN-D00-001 represents BOKE MINE RAIL AND PORT happening in Guinea which has status as Approved ->,"Project was approved on 06-Dec-2017. 
",P-GN-D00-001,Approved,BOKE MINE RAIL AND PORT happening in Guinea,06-Dec-2017.,Details regarding project P-GN-D00-001
232,P-TG-KA0-002 represents PROGRAMME D'APPUI A LA GOUVERNANCE ET A LA PROMOTION DE L'AGROBUSINESS - PAGPA happening in Togo which has status as Completed ->,"Project was approved on 05-Dec-2017. 
",P-TG-KA0-002,Completed,PROGRAMME D'APPUI A LA GOUVERNANCE ET A LA PROMOTION DE L'AGROBUSINESS - PAGPA happening in Togo,05-Dec-2017.,Details regarding project P-TG-KA0-002
233,P-NA-AA0-005 represents NAMIBIA AGRICULTURAL MECHANISATION AND SEED IMPROVEMENT PROJECT (NAMSIP) happening in Namibia which has status as Ongoing ->,"Project was approved on 04-Dec-2017. 
",P-NA-AA0-005,Ongoing,NAMIBIA AGRICULTURAL MECHANISATION AND SEED IMPROVEMENT PROJECT (NAMSIP) happening in Namibia,04-Dec-2017.,Details regarding project P-NA-AA0-005
234,P-NA-I00-001 represents EDUCATION AND TRAINING QUALITY IMPROVEMENT PROJECT happening in Namibia which has status as Ongoing ->,"Project was approved on 04-Dec-2017. 
",P-NA-I00-001,Ongoing,EDUCATION AND TRAINING QUALITY IMPROVEMENT PROJECT happening in Namibia,04-Dec-2017.,Details regarding project P-NA-I00-001
235,P-TN-IA0-004 represents PROGRAMME D'APPUI AU DEVELOPPEMENT DES COMPETENCES TECHNIQUES ET TECHNOLOGIQUES happening in Tunisia which has status as Ongoing ->,"Project was approved on 04-Dec-2017. 
",P-TN-IA0-004,Ongoing,PROGRAMME D'APPUI AU DEVELOPPEMENT DES COMPETENCES TECHNIQUES ET TECHNOLOGIQUES happening in Tunisia,04-Dec-2017.,Details regarding project P-TN-IA0-004
236,P-Z1-KF0-027 represents LOBITO CORRIDOR TRADE FACILITATION PROJECT happening in Multinational which has status as Ongoing ->,"Project was approved on 04-Dec-2017. 
",P-Z1-KF0-027,Ongoing,LOBITO CORRIDOR TRADE FACILITATION PROJECT happening in Multinational,04-Dec-2017.,Details regarding project P-Z1-KF0-027
237,P-MG-K00-011 represents PROGRAMME D'APPUI À LA COMPETITIVITE ECONOMIQUE happening in Madagascar which has status as Completed ->,"Project was approved on 28-Nov-2017. 
",P-MG-K00-011,Completed,PROGRAMME D'APPUI À LA COMPETITIVITE ECONOMIQUE happening in Madagascar,28-Nov-2017.,Details regarding project P-MG-K00-011
238,P-Z1-A00-016 represents TECHNOLOGIES FOR AFRICAN AGRICULTURAL TRANSFORMATION happening in Multinational which has status as Ongoing ->,"Project was approved on 28-Nov-2017. 
",P-Z1-A00-016,Ongoing,TECHNOLOGIES FOR AFRICAN AGRICULTURAL TRANSFORMATION happening in Multinational,28-Nov-2017.,Details regarding project P-Z1-A00-016
239,P-Z1-DC0-021 represents CAMEROUN - ETUDES DE FAISABILITÉ POUR L’AMÉNAGEMENT DE LA LIGNE FERROVIAIRE TCHAD-CAMEROUN happening in Multinational which has status as Completed ->,"Project was approved on 28-Nov-2017. 
",P-Z1-DC0-021,Completed,CAMEROUN - ETUDES DE FAISABILITÉ POUR L’AMÉNAGEMENT DE LA LIGNE FERROVIAIRE TCHAD-CAMEROUN happening in Multinational,28-Nov-2017.,Details regarding project P-Z1-DC0-021
240,P-Z1-DC0-037 represents TCHAD - ETUDES DE FAISABILITÉ POUR L’AMÉNAGEMENT DE LA LIGNE FERROVIAIRE TCHAD-CAMEROUN happening in Multinational which has status as Ongoing ->,"Project was approved on 28-Nov-2017. 
",P-Z1-DC0-037,Ongoing,TCHAD - ETUDES DE FAISABILITÉ POUR L’AMÉNAGEMENT DE LA LIGNE FERROVIAIRE TCHAD-CAMEROUN happening in Multinational,28-Nov-2017.,Details regarding project P-Z1-DC0-037
241,P-GA-A00-003 represents APPUI À GRAINE : PROGRAMME PPP AGRICOLE ET AGRO-INDUSTRIE PHASE I happening in Gabon which has status as Ongoing ->,"Project was approved on 28-Nov-2017. 
",P-GA-A00-003,Ongoing,APPUI À GRAINE : PROGRAMME PPP AGRICOLE ET AGRO-INDUSTRIE PHASE I happening in Gabon,28-Nov-2017.,Details regarding project P-GA-A00-003
242,P-Z1-H00-047 represents LIGNE DE CREDIT A ORAGROUP happening in Multinational which has status as Approved ->,"Project was approved on 24-Nov-2017. 
",P-Z1-H00-047,Approved,LIGNE DE CREDIT A ORAGROUP happening in Multinational,24-Nov-2017.,Details regarding project P-Z1-H00-047
243,P-RW-IZ0-006 represents SKILLS AND BUSINESS DEVELOPMENT PROGRAMME (SBDP) happening in Rwanda which has status as Ongoing ->,"Project was approved on 24-Nov-2017. 
",P-RW-IZ0-006,Ongoing,SKILLS AND BUSINESS DEVELOPMENT PROGRAMME (SBDP) happening in Rwanda,24-Nov-2017.,Details regarding project P-RW-IZ0-006
244,P-TD-KA0-007 represents PROGRAMME D'URGENCE D'APPUI A LA CONSOLIDATION BUDGETAIRE happening in Chad which has status as Ongoing ->,"Project was approved on 24-Nov-2017. 
",P-TD-KA0-007,Ongoing,PROGRAMME D'URGENCE D'APPUI A LA CONSOLIDATION BUDGETAIRE happening in Chad,24-Nov-2017.,Details regarding project P-TD-KA0-007
245,P-KM-K00-008 represents APPUI À L'AGENCE DE PROMOTION DES INVESTISSEMENTS (PAAPI) happening in Comoros which has status as Ongoing ->,"Project was approved on 23-Nov-2017. 
",P-KM-K00-008,Ongoing,APPUI À L'AGENCE DE PROMOTION DES INVESTISSEMENTS (PAAPI) happening in Comoros,23-Nov-2017.,Details regarding project P-KM-K00-008
246,P-CM-KA0-011 represents PROGRAMME D’APPUI A LA COMPETITIVITE ET LA CROISSANCE ECONOMIQUE (PACCE). happening in Cameroon which has status as Ongoing ->,"Project was approved on 22-Nov-2017. 
",P-CM-KA0-011,Ongoing,PROGRAMME D’APPUI A LA COMPETITIVITE ET LA CROISSANCE ECONOMIQUE (PACCE). happening in Cameroon,22-Nov-2017.,Details regarding project P-CM-KA0-011
247,P-ET-FA0-013 represents ADDIS ABABA TRANSMISSION & DISTRIBUTION SYSTEM REHABILITATION AND UPGRADING PROJECT (AATDRUP) happening in Ethiopia which has status as Ongoing ->,"Project was approved on 22-Nov-2017. 
",P-ET-FA0-013,Ongoing,ADDIS ABABA TRANSMISSION & DISTRIBUTION SYSTEM REHABILITATION AND UPGRADING PROJECT (AATDRUP) happening in Ethiopia,22-Nov-2017.,Details regarding project P-ET-FA0-013
248,P-LS-KF0-003 represents LESOTHO TAX MODERNISATION PROJECT happening in Lesotho which has status as Ongoing ->,"Project was approved on 22-Nov-2017. 
",P-LS-KF0-003,Ongoing,LESOTHO TAX MODERNISATION PROJECT happening in Lesotho,22-Nov-2017.,Details regarding project P-LS-KF0-003
249,P-MR-BAA-006 represents SNIM PROJET DE DRAGAGE happening in Mauritania which has status as Approved ->,"Project was approved on 22-Nov-2017. 
",P-MR-BAA-006,Approved,SNIM PROJET DE DRAGAGE happening in Mauritania,22-Nov-2017.,Details regarding project P-MR-BAA-006
250,P-TN-DB0-016 represents PROJET D'APPUI A LA CONNECTIVITE ROUTIERE DANS LE NORD-EST DE LA TUNISIE happening in Tunisia which has status as Approved ->,"Project was approved on 22-Nov-2017. 
",P-TN-DB0-016,Approved,PROJET D'APPUI A LA CONNECTIVITE ROUTIERE DANS LE NORD-EST DE LA TUNISIE happening in Tunisia,22-Nov-2017.,Details regarding project P-TN-DB0-016
251,P-MG-FA0-016 represents ETUDE PPF PROJET DE RENFORCEMENT ET D’INTERCONNEXION DES RÉSEAUX DE TRANSPORT happening in Madagascar which has status as Ongoing ->,"Project was approved on 21-Nov-2017. 
",P-MG-FA0-016,Ongoing,ETUDE PPF PROJET DE RENFORCEMENT ET D’INTERCONNEXION DES RÉSEAUX DE TRANSPORT happening in Madagascar,21-Nov-2017.,Details regarding project P-MG-FA0-016
252,P-UG-FAB-008 represents BUJAGALI ENERGY LIMITED happening in Uganda which has status as Ongoing ->,"Project was approved on 17-Nov-2017. 
",P-UG-FAB-008,Ongoing,BUJAGALI ENERGY LIMITED happening in Uganda,17-Nov-2017.,Details regarding project P-UG-FAB-008
