Question,Answer
Details regarding project P-NG-KD0-001,The project named mic-taf: rehabilitation of industrial clusters as a driver of smes industrial development in nigeria happening in nigeria with code P-NG-KD0-001 was approved on 08-Nov-2016 with the current project status as Completed
Details regarding project P-CM-KA0-009,The project named projet d'appui a l'amelioration de l'efficacite de la depense publique happening in cameroon with code P-CM-KA0-009 was approved on 07-Nov-2016 with the current project status as Approved
Details regarding project P-GN-K00-009,The project named projet d’appui au renforcement des capacités de l’administration pour la gestion projets intég happening in guinea with code P-GN-K00-009 was approved on 04-Nov-2016 with the current project status as Ongoing
Details regarding project P-NG-IC0-003,The project named emergency assistance to support the fight against malnutrition in borno state happening in nigeria with code P-NG-IC0-003 was approved on 04-Nov-2016 with the current project status as Completed
Details regarding project P-TD-IAG-001,The project named etudes preparatoires du projet promotion de formation des filles et l’alphabetisation des femmes happening in chad with code P-TD-IAG-001 was approved on 04-Nov-2016 with the current project status as Ongoing
Details regarding project P-DZ-K00-007,The project named programme d’appui budgétaire à la compétitivité industrielle et energétique (pacie) happening in algeria with code P-DZ-K00-007 was approved on 02-Nov-2016 with the current project status as Ongoing
Details regarding project P-NE-KA0-011,The project named programme d'appui aux reformes financiere et a la securite alimentaire 2è phase -parefsa ii happening in niger with code P-NE-KA0-011 was approved on 02-Nov-2016 with the current project status as Completed
Details regarding project P-NG-KA0-002,"The project named economic governance, diversification and competitiveness support program (egdcsp) 2016 happening in nigeria with code P-NG-KA0-002 was approved on 02-Nov-2016 with the current project status as Completed"
Details regarding project P-TN-IAZ-002,The project named programme d’appui au développement régional inclusif (padri) happening in tunisia with code P-TN-IAZ-002 was approved on 02-Nov-2016 with the current project status as Ongoing
Details regarding project P-RW-FA0-013,The project named increasing climate change adapative capacity of rwandan communities happening in rwanda with code P-RW-FA0-013 was approved on 31-Oct-2016 with the current project status as Ongoing
Details regarding project P-ZW-IE0-003,The project named youth and women empowerment project happening in zimbabwe with code P-ZW-IE0-003 was approved on 31-Oct-2016 with the current project status as Ongoing
Details regarding project P-Z1-EAZ-048,The project named orange-sengu ivestment plan and project preparation happening in multinational with code P-Z1-EAZ-048 was approved on 26-Oct-2016 with the current project status as Ongoing
Details regarding project P-Z1-KF0-049,The project named support to the african capacity building foundation for smtp iii happening in multinational with code P-Z1-KF0-049 was approved on 25-Oct-2016 with the current project status as Ongoing
Details regarding project P-Z1-GB0-021,The project named tanzania - lake victoria maritime communications and transport project happening in multinational with code P-Z1-GB0-021 was approved on 24-Oct-2016 with the current project status as Ongoing
Details regarding project P-Z1-GB0-030,The project named uganda - lake victoria maritime communications and transport project happening in multinational with code P-Z1-GB0-030 was approved on 24-Oct-2016 with the current project status as Ongoing
Details regarding project P-Z1-GB0-031,The project named kenya - lake victoria maritime communications and transport project happening in multinational with code P-Z1-GB0-031 was approved on 24-Oct-2016 with the current project status as Approved
Details regarding project P-CI-AA0-023,The project named projet de developpement des chaines de valeur dans la région de l'indénié-djuablin (pdc-id) happening in côte d'ivoire with code P-CI-AA0-023 was approved on 21-Oct-2016 with the current project status as Ongoing
Details regarding project P-NG-IAD-001,The project named afe babalola university nigeria happening in nigeria with code P-NG-IAD-001 was approved on 19-Oct-2016 with the current project status as Ongoing
Details regarding project P-TN-HAB-003,The project named ligne de credit pour le financement du commerce pour la bh tunisie happening in tunisia with code P-TN-HAB-003 was approved on 19-Oct-2016 with the current project status as Ongoing
Details regarding project P-CV-AAF-009,The project named mic-cap vert economie bleue happening in cape verde with code P-CV-AAF-009 was approved on 17-Oct-2016 with the current project status as Ongoing
Details regarding project P-DZ-KD0-002,The project named appui a l'organisation du forum africain des affaires et de l'investissement happening in algeria with code P-DZ-KD0-002 was approved on 13-Oct-2016 with the current project status as Completed
Details regarding project P-SO-KF0-010,The project named somalia national statistical capacity building project happening in somalia with code P-SO-KF0-010 was approved on 13-Oct-2016 with the current project status as Ongoing
Details regarding project P-ZA-HB0-003,The project named housing investment partners trust - hip2 happening in south africa with code P-ZA-HB0-003 was approved on 12-Oct-2016 with the current project status as Approved
Details regarding project P-EG-HA0-001,The project named restructuring of nasser social bank happening in egypt with code P-EG-HA0-001 was approved on 11-Oct-2016 with the current project status as Ongoing
Details regarding project P-Z1-AAG-004,The project named olam africa investment program happening in multinational with code P-Z1-AAG-004 was approved on 28-Sep-2016 with the current project status as Ongoing
Details regarding project P-SN-AAG-001,The project named projet rizicole de la compagnie agricole de saint-louis du sénégal (casl) happening in senegal with code P-SN-AAG-001 was approved on 28-Sep-2016 with the current project status as Ongoing
Details regarding project P-GH-DB0-017,The project named accra urban transport happening in ghana with code P-GH-DB0-017 was approved on 28-Sep-2016 with the current project status as Ongoing
Details regarding project P-MW-AAZ-004,The project named agricultural infrastructure and youth agribusiness project (medium scale irrig & youth empowerment) happening in malawi with code P-MW-AAZ-004 was approved on 28-Sep-2016 with the current project status as Ongoing
Details regarding project P-Z1-AAZ-038,The project named export trading company group - etg happening in multinational with code P-Z1-AAZ-038 was approved on 28-Sep-2016 with the current project status as Approved
Details regarding project P-GH-AA0-036,The project named form ghana reforestation project happening in ghana with code P-GH-AA0-036 was approved on 22-Sep-2016 with the current project status as Approved
Details regarding project P-Z1-DB0-173,The project named projet d'etude detaillee de construction du pont sur le ntem- multinationale kribi-campo-bata happening in multinational with code P-Z1-DB0-173 was approved on 22-Sep-2016 with the current project status as Ongoing
Details regarding project P-BF-FA0-007,The project named projet d'electrification zones peri-urbaines de ouagadougou et de bobo dioulasso (pepu) happening in burkina faso with code P-BF-FA0-007 was approved on 21-Sep-2016 with the current project status as Ongoing
Details regarding project P-CD-AA0-009,The project named etude de faisabilité des parcs industriels happening in dem rep congo with code P-CD-AA0-009 was approved on 21-Sep-2016 with the current project status as Completed
Details regarding project P-MR-I00-001,The project named projet d’appui a la promotion des micro petites & moyennes entreprises et a l’emploi des jeunes happening in mauritania with code P-MR-I00-001 was approved on 21-Sep-2016 with the current project status as Ongoing
Details regarding project P-Z1-DB0-130,The project named abidjan-lagos corridor highway development project study-cote d'ivoire happening in multinational with code P-Z1-DB0-130 was approved on 21-Sep-2016 with the current project status as Approved
Details regarding project P-Z1-DB0-176,The project named abidjan-lagos corridor highway development project study-nigeria happening in multinational with code P-Z1-DB0-176 was approved on 21-Sep-2016 with the current project status as Approved
Details regarding project P-Z1-DB0-177,The project named abidjan-lagos corridor highway development project study-benin happening in multinational with code P-Z1-DB0-177 was approved on 21-Sep-2016 with the current project status as Ongoing
Details regarding project P-Z1-DB0-178,The project named abidjan-lagos corridor highway development project study-togo happening in multinational with code P-Z1-DB0-178 was approved on 21-Sep-2016 with the current project status as Approved
Details regarding project P-Z1-DB0-179,The project named abidjan-lagos corridor highway development project study-cedeao happening in multinational with code P-Z1-DB0-179 was approved on 21-Sep-2016 with the current project status as Approved
Details regarding project P-Z1-HA0-008,The project named promotion de l'accès des systèmes financ happening in multinational with code P-Z1-HA0-008 was approved on 21-Sep-2016 with the current project status as Ongoing
Details regarding project P-Z1-HAB-045,The project named ecobank transnational incorporated tfloc usd 310 million happening in multinational with code P-Z1-HAB-045 was approved on 21-Sep-2016 with the current project status as Ongoing
Details regarding project P-ZM-HAA-001,The project named line of credit to development bank of zambia happening in zambia with code P-ZM-HAA-001 was approved on 21-Sep-2016 with the current project status as Ongoing
Details regarding project P-SN-KA0-009,The project named programme d’appui aux reformes du developpement local (pardl) happening in senegal with code P-SN-KA0-009 was approved on 14-Sep-2016 with the current project status as Completed
Details regarding project P-GW-IB0-004,The project named emergency assistance to support guinea bissau preparedenss response plan to fight the zika virus happening in guinea-bissau with code P-GW-IB0-004 was approved on 08-Sep-2016 with the current project status as Completed
Details regarding project P-ZA-KA0-002,The project named south africa municipal financial management technical assistance project happening in south africa with code P-ZA-KA0-002 was approved on 07-Sep-2016 with the current project status as Ongoing
Details regarding project P-TN-E00-006,The project named programme d'approvisionnement en eau potable en milieu rural - phase ii happening in tunisia with code P-TN-E00-006 was approved on 06-Sep-2016 with the current project status as Ongoing
Details regarding project P-CV-IB0-004,"The project named emergency assistance to support the preparedenss, response and recovery plan to fight the zika virus happening in cape verde with code P-CV-IB0-004 was approved on 01-Sep-2016 with the current project status as Completed"
Details regarding project P-Z1-AAD-005,The project named moringa agroforesty technical assistance facility (ataf) happening in multinational with code P-Z1-AAD-005 was approved on 30-Aug-2016 with the current project status as Ongoing
Details regarding project P-CV-IAZ-004,The project named projet pilote pour le renforcement de l’employabilité et de l’insertion des jeunes au cabo verd happening in cape verde with code P-CV-IAZ-004 was approved on 22-Aug-2016 with the current project status as Ongoing
Details regarding project P-TG-H00-003,The project named projet d'appui a l'inclusion financiere des femmes vulnerables au togo happening in togo with code P-TG-H00-003 was approved on 22-Aug-2016 with the current project status as Ongoing
Details regarding project P-NE-A00-007,The project named niger - aide d’urgence humanitaire aux deplaces de guerre de la region de diffa happening in niger with code P-NE-A00-007 was approved on 19-Aug-2016 with the current project status as Completed
Details regarding project P-EG-IB0-007,The project named update of actuarial study for national health insurance happening in egypt with code P-EG-IB0-007 was approved on 18-Aug-2016 with the current project status as Completed
Details regarding project P-GN-AA0-018,The project named ppf appui transformation agriculture guinéene - volet entreprenariat agricole jeunes (patag-eaj) happening in guinea with code P-GN-AA0-018 was approved on 03-Aug-2016 with the current project status as Ongoing
Details regarding project P-TN-A00-008,The project named etude-gestion des risques et mise en place d'un système d'assurance et de micro assurance agricole happening in tunisia with code P-TN-A00-008 was approved on 02-Aug-2016 with the current project status as Ongoing
Details regarding project P-GM-C00-006,The project named gambia strategic program on climate resilience (spcr) happening in gambia with code P-GM-C00-006 was approved on 27-Jul-2016 with the current project status as Ongoing
Details regarding project P-SL-A00-003,The project named enable youth - sierra leone happening in sierra leone with code P-SL-A00-003 was approved on 18-Jul-2016 with the current project status as Completed
Details regarding project P-LS-A00-001,The project named emergency humanitarian relief assistance for to the victims of food crisis happening in lesotho with code P-LS-A00-001 was approved on 15-Jul-2016 with the current project status as Completed
Details regarding project P-Z1-G00-014,The project named 50 million african women speak networking platform (comesa) happening in multinational with code P-Z1-G00-014 was approved on 15-Jul-2016 with the current project status as Ongoing
Details regarding project P-Z1-G00-015,The project named 50 million african women speak networking platform (ecowas) happening in multinational with code P-Z1-G00-015 was approved on 15-Jul-2016 with the current project status as Ongoing
Details regarding project P-Z1-G00-016,The project named 50 million african women speak networking platform (eac) happening in multinational with code P-Z1-G00-016 was approved on 15-Jul-2016 with the current project status as Approved
Details regarding project P-Z1-IA0-013,The project named ecowas - nelson mandela institute - african institutions of science and technology happening in multinational with code P-Z1-IA0-013 was approved on 15-Jul-2016 with the current project status as Ongoing
Details regarding project P-Z1-IA0-016,The project named eac - nelson mandela institute - african institutions of science and technology happening in multinational with code P-Z1-IA0-016 was approved on 15-Jul-2016 with the current project status as Ongoing
Details regarding project P-ET-FA0-011,The project named mekele-dalol & semera afdera power supply for industrial development and access scale-up happening in ethiopia with code P-ET-FA0-011 was approved on 14-Jul-2016 with the current project status as Ongoing
Details regarding project P-MZ-EAZ-003,"The project named urban sanitation, drainage and solid waste management in chimoio & inhambane happening in mozambique with code P-MZ-EAZ-003 was approved on 14-Jul-2016 with the current project status as Ongoing"
Details regarding project P-SS-E00-002,The project named resilience water project for improved livelihood in juba happening in south sudan with code P-SS-E00-002 was approved on 14-Jul-2016 with the current project status as Ongoing
Details regarding project P-GN-KA0-006,The project named programme d’appui aux réformes economiques et financières phase iii (paref iii) happening in guinea with code P-GN-KA0-006 was approved on 13-Jul-2016 with the current project status as Completed
Details regarding project P-MA-HAZ-002,The project named programme d'appui au renforcement de la stabilité et de l'inclusion financières - parsif happening in morocco with code P-MA-HAZ-002 was approved on 13-Jul-2016 with the current project status as Completed
Details regarding project P-RW-IZ0-004,The project named seep iii happening in rwanda with code P-RW-IZ0-004 was approved on 13-Jul-2016 with the current project status as Closed
Details regarding project P-TN-HZ0-002,The project named programme d'appui a la modernisation du secteur financier happening in tunisia with code P-TN-HZ0-002 was approved on 13-Jul-2016 with the current project status as Ongoing
Details regarding project P-BF-AAG-001,The project named integrated support to the shea butter sector for women’s economic empowerment happening in burkina faso with code P-BF-AAG-001 was approved on 12-Jul-2016 with the current project status as Ongoing
Details regarding project P-MR-EAZ-010,The project named projet d’amelioration de la resilience climatique des investissements du secteur de l’eau happening in mauritania with code P-MR-EAZ-010 was approved on 08-Jul-2016 with the current project status as Ongoing
Details regarding project P-CI-AA0-027,The project named ppf – enable youth côte d’ivoire happening in côte d'ivoire with code P-CI-AA0-027 was approved on 07-Jul-2016 with the current project status as Ongoing
Details regarding project P-Z1-FA0-104,The project named nelsap interconnection project - drc - supplementary grant happening in multinational with code P-Z1-FA0-104 was approved on 05-Jul-2016 with the current project status as Ongoing
Details regarding project P-ER-KF0-003,The project named pfm and statistics technical assistance and capacity building project happening in eritrea with code P-ER-KF0-003 was approved on 04-Jul-2016 with the current project status as Ongoing
Details regarding project P-MA-KD0-003,The project named projet d'appui a maroc export happening in morocco with code P-MA-KD0-003 was approved on 02-Jul-2016 with the current project status as Ongoing
Details regarding project P-GA-AAD-005,The project named etude de preparation du programme appui a l'initiative gabon vert et etudes faisabilite connexes happening in gabon with code P-GA-AAD-005 was approved on 30-Jun-2016 with the current project status as Completed
Details regarding project P-RW-C00-003,The project named fip rwanda-investment plan preparation happening in rwanda with code P-RW-C00-003 was approved on 28-Jun-2016 with the current project status as Completed
Details regarding project P-NG-HAB-037,The project named usd 300 million trade finance package first bank of nigeria plc happening in nigeria with code P-NG-HAB-037 was approved on 27-Jun-2016 with the current project status as Ongoing
Details regarding project P-KE-FA0-013,The project named last mile connectivity project - 2 happening in kenya with code P-KE-FA0-013 was approved on 27-Jun-2016 with the current project status as Ongoing
Details regarding project P-SZ-A00-003,The project named emergency humanitarian relief assistance for drought victims (2016) happening in swaziland with code P-SZ-A00-003 was approved on 27-Jun-2016 with the current project status as Completed
Details regarding project P-TD-KA0-006,The project named programme d'appui aux reformes economiques et financieres phase ii happening in chad with code P-TD-KA0-006 was approved on 27-Jun-2016 with the current project status as Completed
Details regarding project P-TZ-EAZ-003,The project named kikonge multipurpose dam hydropower and irrigation happening in tanzania with code P-TZ-EAZ-003 was approved on 27-Jun-2016 with the current project status as Ongoing
Details regarding project P-MA-IBD-011,The project named programme d'appui a la gouvernance de la protection sociale happening in morocco with code P-MA-IBD-011 was approved on 22-Jun-2016 with the current project status as Completed
Details regarding project P-Z1-DB0-105,The project named kampala-mpigi & kagitumba-kayonza-rusumo road project -uganda happening in multinational with code P-Z1-DB0-105 was approved on 22-Jun-2016 with the current project status as Ongoing
Details regarding project P-Z1-DB0-170,The project named busega-mpigi & kagitumba-kayonza-rusumo road project - rwanda happening in multinational with code P-Z1-DB0-170 was approved on 22-Jun-2016 with the current project status as Ongoing
Details regarding project P-CM-EAZ-002,The project named etudes de mobilisation et de valorisation des eaux pluviales a travers des retenues collinaires happening in cameroon with code P-CM-EAZ-002 was approved on 20-Jun-2016 with the current project status as Completed
Details regarding project P-MG-IC0-004,The project named assistance a la lutte contre la malnutrition suite a la secheresse recurente au sud happening in madagascar with code P-MG-IC0-004 was approved on 20-Jun-2016 with the current project status as Completed
Details regarding project P-TN-EAZ-004,The project named elaboration de la vision et de la strategie eau 2050 de la tunisie happening in tunisia with code P-TN-EAZ-004 was approved on 20-Jun-2016 with the current project status as Ongoing
Details regarding project P-ZM-AAC-007,The project named feasibility study for upscaling smallholder irrigation systems for climate change adaptation happening in zambia with code P-ZM-AAC-007 was approved on 20-Jun-2016 with the current project status as Ongoing
Details regarding project P-MZ-AA0-032,The project named emergency humanitarian relief assistancy drought disaster happening in mozambique with code P-MZ-AA0-032 was approved on 17-Jun-2016 with the current project status as Completed
Details regarding project P-SO-E00-001,The project named water infrastructure development for resilience in somaliland project happening in somalia with code P-SO-E00-001 was approved on 17-Jun-2016 with the current project status as Ongoing
Details regarding project P-KE-HAB-007,The project named jamii bora kenya happening in kenya with code P-KE-HAB-007 was approved on 14-Jun-2016 with the current project status as Approved
Details regarding project P-MR-HA0-001,The project named ligne de crédit banque populaire de mauritanie programme pmes happening in mauritania with code P-MR-HA0-001 was approved on 08-Jun-2016 with the current project status as Ongoing
Details regarding project P-Z1-H00-026,The project named boad-loc iii tranche a happening in multinational with code P-Z1-H00-026 was approved on 08-Jun-2016 with the current project status as Ongoing
Details regarding project P-Z1-H00-042,The project named boad ligne de credit iii tranche b happening in multinational with code P-Z1-H00-042 was approved on 08-Jun-2016 with the current project status as Ongoing
Details regarding project P-TZ-HAB-009,The project named crdb bank limited line of credit 2015 happening in tanzania with code P-TZ-HAB-009 was approved on 08-Jun-2016 with the current project status as Ongoing
Details regarding project P-ZW-HA0-002,The project named central africa building society happening in zimbabwe with code P-ZW-HA0-002 was approved on 08-Jun-2016 with the current project status as Ongoing
Details regarding project P-MA-E00-010,The project named projet d'amelioration de la qualite d'eau et des performances des systemes d'aep happening in morocco with code P-MA-E00-010 was approved on 08-Jun-2016 with the current project status as Ongoing
Details regarding project P-NG-HA0-012,The project named line of credit - united bank for africa plc happening in nigeria with code P-NG-HA0-012 was approved on 08-Jun-2016 with the current project status as Ongoing
Details regarding project P-GA-KF0-002,The project named promotion des investissements dans les filieres porteuses cafe/cacao et cultures vivrieres happening in gabon with code P-GA-KF0-002 was approved on 03-Jun-2016 with the current project status as Completed
Details regarding project P-SN-AA0-011,The project named ppf_developpement entreprenariat jeunes agri&agroalimentaire happening in senegal with code P-SN-AA0-011 was approved on 01-Jun-2016 with the current project status as Completed
Details regarding project P-BF-A00-007,"The project named ppf_insertion jeunes et femmes dans secteurs agro-sylvo-pastoraux, halieutiques&fauniques happening in burkina faso with code P-BF-A00-007 was approved on 25-May-2016 with the current project status as Completed"
Details regarding project P-Z1-IZ0-025,The project named projet d'appui a la reinsertion socio-economique des jeunes et des femmes - parsejf (rca) t.a. happening in multinational with code P-Z1-IZ0-025 was approved on 25-May-2016 with the current project status as Ongoing
Details regarding project P-Z1-IZ0-026,The project named projet d'appui a la reinsertion socio-economique des jeunes et des femmes - parsejf (burundi) happening in multinational with code P-Z1-IZ0-026 was approved on 25-May-2016 with the current project status as Ongoing
Details regarding project P-Z1-IZ0-027,The project named projet d'appui a la reinsertion socio-economique des jeunes et des femmes - parsejf (drc) t.a. happening in multinational with code P-Z1-IZ0-027 was approved on 25-May-2016 with the current project status as Ongoing
Details regarding project P-Z1-IZ0-028,The project named projet d'appui a la reinsertion socio-economique des jeunes et des femmes - parsejf (cirgl) t.a. happening in multinational with code P-Z1-IZ0-028 was approved on 25-May-2016 with the current project status as Ongoing
Details regarding project P-CD-IZ0-006,The project named aide humanitaire d'urgence aux populations victimes des inondations a kinshasa happening in dem rep congo with code P-CD-IZ0-006 was approved on 20-May-2016 with the current project status as Completed
Details regarding project P-CG-GB0-002,The project named projet central africa backbone (cab) – composante congo happening in congo cg with code P-CG-GB0-002 was approved on 18-May-2016 with the current project status as Ongoing
Details regarding project P-MZ-IZ0-003,The project named job creation and livelihood improvement project happening in mozambique with code P-MZ-IZ0-003 was approved on 18-May-2016 with the current project status as Ongoing
Details regarding project P-NG-AA0-037,The project named mic grant strengthening of federal ministry of agriculture and rural development happening in nigeria with code P-NG-AA0-037 was approved on 18-May-2016 with the current project status as Completed
Details regarding project P-Z1-K00-059,The project named regional institutional support project on public financial governance (rispfg) ataf happening in multinational with code P-Z1-K00-059 was approved on 13-May-2016 with the current project status as Ongoing
Details regarding project P-Z1-K00-081,The project named multinational - regional institutional support project on public financial governance (cabri) happening in multinational with code P-Z1-K00-081 was approved on 13-May-2016 with the current project status as Ongoing
Details regarding project P-NG-A00-011,The project named mic-grant support to bank of agriculture (boa) limited happening in nigeria with code P-NG-A00-011 was approved on 05-May-2016 with the current project status as Ongoing
Details regarding project P-SL-KB0-001,The project named sierra leone youth entrepreneurship and employment project happening in sierra leone with code P-SL-KB0-001 was approved on 04-May-2016 with the current project status as Ongoing
Details regarding project P-SZ-AAC-005,The project named lower usuthu smallholder irrigation project ii happening in swaziland with code P-SZ-AAC-005 was approved on 04-May-2016 with the current project status as Ongoing
Details regarding project P-ZW-HZ0-001,The project named african trade insurance - zimbabwe membership tsf grant happening in zimbabwe with code P-ZW-HZ0-001 was approved on 04-May-2016 with the current project status as Completed
Details regarding project P-LR-KB0-001,The project named liberia youth entrepreneurship and employment project happening in liberia with code P-LR-KB0-001 was approved on 26-Apr-2016 with the current project status as Ongoing
Details regarding project P-ZM-AA0-026,The project named mic taf grant youth in agribusiness and agriculture commodity corridors happening in zambia with code P-ZM-AA0-026 was approved on 26-Apr-2016 with the current project status as Ongoing
Details regarding project P-CV-AAZ-001,The project named aide d'urgence-ile de fogo happening in cape verde with code P-CV-AAZ-001 was approved on 22-Apr-2016 with the current project status as Completed
Details regarding project P-MW-AA0-029,The project named humanitarian emergency assistance to mitigate effects of 2015 floods happening in malawi with code P-MW-AA0-029 was approved on 22-Apr-2016 with the current project status as Completed
Details regarding project P-MG-AA0-029,The project named ppf - programme entrepreneuriat des jeunes dans l’agriculture et l’agro-industrie happening in madagascar with code P-MG-AA0-029 was approved on 13-Apr-2016 with the current project status as Ongoing
Details regarding project P-BF-EAZ-002,The project named etude de réhabilitation du barrage souterrain de naré : résilience à la désert. et dégradation happening in burkina faso with code P-BF-EAZ-002 was approved on 11-Apr-2016 with the current project status as Ongoing
Details regarding project P-GM-AA0-014,The project named agriculture value chain development project happening in gambia with code P-GM-AA0-014 was approved on 31-Mar-2016 with the current project status as Ongoing
Details regarding project P-KE-DB0-023,The project named sirari corridor accessibility & road safety improvement project: isebania-kisii-ahero rehabilitation happening in kenya with code P-KE-DB0-023 was approved on 30-Mar-2016 with the current project status as Ongoing
Details regarding project P-MG-KA0-009,The project named programme d'appui aux reformes de la gestion economique happening in madagascar with code P-MG-KA0-009 was approved on 30-Mar-2016 with the current project status as Closed
Details regarding project P-ZM-AA0-025,The project named mic taf grant luswishi farm block happening in zambia with code P-ZM-AA0-025 was approved on 22-Mar-2016 with the current project status as Ongoing
Details regarding project P-UG-C00-003,The project named develop a strategy on climate resilience happening in uganda with code P-UG-C00-003 was approved on 17-Mar-2016 with the current project status as Ongoing
Details regarding project P-UG-FZ0-002,The project named project preparation grant for the wind resource map and pilot-wind power development program happening in uganda with code P-UG-FZ0-002 was approved on 09-Mar-2016 with the current project status as Ongoing
Details regarding project P-NG-HAB-035,The project named wema bank line of credit 2015 happening in nigeria with code P-NG-HAB-035 was approved on 09-Mar-2016 with the current project status as Approved
Details regarding project P-MA-A00-003,The project named programme d'appui au plan maroc vert 2 (papmv-2) happening in morocco with code P-MA-A00-003 was approved on 04-Mar-2016 with the current project status as Completed
Details regarding project P-TG-AA0-008,The project named ppf - projet de développement des agropoles au togo happening in togo with code P-TG-AA0-008 was approved on 29-Feb-2016 with the current project status as Completed
Details regarding project P-Z1-K00-083,The project named operational and financial support to the alsf under pillar iii-tsf - adf13 happening in multinational with code P-Z1-K00-083 was approved on 24-Feb-2016 with the current project status as Approved
Details regarding project P-ZA-IA0-002,The project named mic - education for sustainable development in natural mineral resources manag. operation (mic-esda) happening in south africa with code P-ZA-IA0-002 was approved on 19-Feb-2016 with the current project status as Ongoing
Details regarding project P-TG-KF0-008,The project named projet d'appui à la gouvernance fiscale (pagfi) happening in togo with code P-TG-KF0-008 was approved on 17-Feb-2016 with the current project status as Ongoing
Details regarding project P-Z1-HB0-056,The project named comesa–promoting financial inclusion: action plan development for microfinance regulation and supe happening in multinational with code P-Z1-HB0-056 was approved on 16-Feb-2016 with the current project status as Ongoing
Details regarding project P-NA-IAD-004,The project named mic - support to the namibia national council on higher education (nche) happening in namibia with code P-NA-IAD-004 was approved on 03-Feb-2016 with the current project status as Ongoing
Details regarding project P-TZ-KF0-005,The project named institutionnal support project for good governance iii happening in tanzania with code P-TZ-KF0-005 was approved on 03-Feb-2016 with the current project status as Ongoing
Details regarding project P-UG-E00-012,The project named water supply and sanitation programme phase ii happening in uganda with code P-UG-E00-012 was approved on 03-Feb-2016 with the current project status as Ongoing
Details regarding project P-SD-ID0-003,The project named capacity building for enhanced gender participation in peace and economic activities (cb-egppea) happening in sudan with code P-SD-ID0-003 was approved on 02-Feb-2016 with the current project status as Ongoing
Details regarding project P-EG-AAC-025,The project named national drainage technical assistance happening in egypt with code P-EG-AAC-025 was approved on 01-Feb-2016 with the current project status as Ongoing
Details regarding project P-MA-IAD-002,The project named mic-systeme d'information pour l'amelioration de la gouvernance et l'integration regionale de l'uefm happening in morocco with code P-MA-IAD-002 was approved on 29-Jan-2016 with the current project status as Ongoing
Details regarding project P-MA-DC0-005,The project named projet de renforcement des infrastructures entre casablanca et marrakech-phase ii happening in morocco with code P-MA-DC0-005 was approved on 27-Jan-2016 with the current project status as Ongoing
Details regarding project P-ST-K00-011,The project named etude élaboration de plan d'aménagement de territoire stp happening in sao tome with code P-ST-K00-011 was approved on 25-Jan-2016 with the current project status as Ongoing
Details regarding project P-SO-IE0-003,The project named socio-economic re-integration of youth at risk happening in somalia with code P-SO-IE0-003 was approved on 22-Jan-2016 with the current project status as Ongoing
Details regarding project P-CM-AA0-012,The project named programme de developpement des chaines de valeurs agricoles(pd-cva) happening in cameroon with code P-CM-AA0-012 was approved on 20-Jan-2016 with the current project status as Ongoing
Details regarding project P-UG-AAD-001,The project named fiefoc2 farm income enhancement and forest conservation project happening in uganda with code P-UG-AAD-001 was approved on 20-Jan-2016 with the current project status as Ongoing
Details regarding project P-CD-A00-005,The project named ppf-projet entreprenariat des jeunes dans l’agriculture et l’agro-business happening in dem rep congo with code P-CD-A00-005 was approved on 18-Jan-2016 with the current project status as Completed
Details regarding project P-Z1-IAD-020,The project named etude preparatoire pour la mise en place poles d'excellence technologiques universitaires (petu) happening in multinational with code P-Z1-IAD-020 was approved on 18-Jan-2016 with the current project status as Completed
Details regarding project P-ET-E00-011,The project named ethiopia four towns water supply and sanitation improvement program happening in ethiopia with code P-ET-E00-011 was approved on 13-Jan-2016 with the current project status as Ongoing
Details regarding project P-MG-EB0-001,The project named sdaum-schemas directeurs d'assainissement urbain de madagascar happening in madagascar with code P-MG-EB0-001 was approved on 24-Dec-2015 with the current project status as Ongoing
Details regarding project P-CI-AAE-004,The project named aide humanitaire d’urgence au gouvernement dans la lutte contre la grippe aviaire en côte d’ivo happening in côte d'ivoire with code P-CI-AAE-004 was approved on 23-Dec-2015 with the current project status as Completed
Details regarding project P-SZ-EAZ-002,The project named mbabane manzini corridor (nondvo) multipurpose dam study happening in swaziland with code P-SZ-EAZ-002 was approved on 21-Dec-2015 with the current project status as Ongoing
Details regarding project P-SZ-EAZ-001,The project named mbabane manzini corridor multipurpose dam feasiblity study happening in swaziland with code P-SZ-EAZ-001 was approved on 21-Dec-2015 with the current project status as Ongoing
Details regarding project P-ZW-EAZ-002,The project named zimbabwe integrated urban water management happening in zimbabwe with code P-ZW-EAZ-002 was approved on 21-Dec-2015 with the current project status as Ongoing
Details regarding project P-MW-E00-007,The project named mzimba integrated urban water and sanitation project happening in malawi with code P-MW-E00-007 was approved on 18-Dec-2015 with the current project status as Ongoing
Details regarding project P-ET-IZ0-002,The project named ethiopia basic service transformation program happening in ethiopia with code P-ET-IZ0-002 was approved on 17-Dec-2015 with the current project status as Completed
Details regarding project P-SL-DB0-010,The project named mano river union - rehabilitation of bo-bandajuma road project happening in sierra leone with code P-SL-DB0-010 was approved on 17-Dec-2015 with the current project status as Ongoing
Details regarding project P-SL-F00-008,The project named cec africa sierra leone hfo ipp project happening in sierra leone with code P-SL-F00-008 was approved on 17-Dec-2015 with the current project status as Ongoing
Details regarding project P-CM-F00-002,The project named kribi ii (extension project) happening in cameroon with code P-CM-F00-002 was approved on 16-Dec-2015 with the current project status as Approved
